source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
196944217825405184,89.98371736337808,45.936700316237285,4.515407302318046,0.24095644,3.0882971,4.5690985,2.2741776,2.294921,9.425242,1.4821731,,,2891.0914627512466,1.0,0.6804784901825187,0.4006322290759508
201261278441958656,76.62890153390961,41.23417207468237,14.020760617529197,0.27078855,3.1723478,3.2001843,3.2802727,-0.08008838,2.0529706,1.6329569,,,11248.467744776606,0.7628876267317236,0.8378157079581303,1.0
236572025642774400,53.39606508627031,39.89927005823699,17.710600571651735,0.043385748,5.7776785,5.8296742,5.663995,0.16567945,0.9933133,0.27744925,8272.856,1.6798,8438.50132739434,0.844900769672526,0.8877447486898966,1.0
272818079284597760,69.97779923924378,53.07946385425934,7.784110275360213,0.24732429,4.751208,5.29777,4.0488114,1.2489586,9.689019,1.6332105,4934.634,19.601,4214.855429988555,1.0,0.8275319088540022,0.6888730879680539
277676649371573504,72.00156599761362,56.75655195980799,18.44638822177175,0.110865586,5.2256794,5.3447943,5.0282583,0.31653595,1.4572891,0.77153134,7558.6826,2.3698,7358.365096142698,0.9133850492506488,0.9278481896164132,1.0
280036987300512256,80.86613551739529,57.5441571239336,9.292926781543043,0.07940052,5.2164683,5.218966,5.1851525,0.033813477,1.0091673,0.5824157,9494.364,3.8154,9722.132897514866,0.798619916900225,0.8598414641502222,1.0
299464296907113984,28.27050196220287,29.577783036034862,,,3.3050761,3.6611109,2.9027011,0.75840974,,1.0055432,,,5409.308912562938,1.0,0.9248596228180883,0.8604914392256732
305334280250112896,27.17229174413707,32.69152834332197,36.08860997262425,0.052851826,5.6345162,5.926552,5.1806345,0.7459173,1.3556889,0.3269041,5878.2847,1.7327,5449.2632607564,1.0,0.9277302627715405,0.865391465987709
364887296048209024,7.857095363538775,33.58158898866031,8.595407034487588,0.058226313,5.5429754,6.1250825,4.8143415,1.310741,1.1240451,0.29708424,4567.2783,13.696,4102.327066447317,1.0,0.8169759494598258,0.6695186882730747
392687455423041024,4.287710752549177,47.94738983994935,2.8486971831079497,0.05156849,5.8352237,5.790484,5.869714,-0.07922983,0.88014305,0.3686492,,,11234.9386583464,0.7631499587242556,0.8379790204736166,1.0
396649030176633216,21.578524697718308,43.45747650728724,23.437698200679343,0.03594139,5.854733,6.1083646,5.4305677,0.67779684,1.1228526,0.20206665,6128.356,2.2064,5678.7282174405045,1.0,0.9438199125020456,0.892708141170859
413463586628312448,19.55779304162413,57.80316285738621,2.5681677873234072,0.07668539,4.701408,6.6978397,3.3768559,3.320984,1.2119393,0.66295826,3518.9565,241.1393,2218.9373397645645,1.0,0.577260683277942,0.16206954515604946
416384782862127872,7.921081345649575,52.83947121942781,9.692243601446425,0.056214515,5.2499237,5.844376,4.5181518,1.3262243,1.0260915,0.41926154,,,4075.1026319753396,1.0,0.8143786077504751,0.6647307443868697
418090121095577216,7.943449071209089,54.52217954001499,7.4272781420426846,0.61039925,4.648081,4.6632447,4.7539005,-0.0906558,4.3931856,3.9224024,11216.642,6.3637,11418.030808260844,0.7596633160068061,0.835806450769231,1.0
418206501834841600,8.293853625879505,54.89481225467628,9.120480116543993,0.032160334,5.6511397,6.163507,4.9786615,1.1848454,0.9748062,0.22624297,4800.725,10.8758,4338.678988343105,1.0,0.8388265763572088,0.7094024081450199
434453160517450624,44.13873048235117,47.1640088570517,1.6543192289447417,0.10506138,5.638136,6.306608,4.8685427,1.4380655,2.3934016,0.6775153,,,3889.105314055041,1.0,0.7961552456866221,0.6308393108739763
438829629114680704,41.05222216366374,49.22805187168278,89.68495177109118,0.16380331,3.9830012,4.24677,3.554696,0.6920738,3.1697655,1.0403934,6281.219,1.3105,5628.938890620011,1.0,0.9403847167993047,0.8868965542252534
441416161501150848,52.01294917356026,49.062754281296215,5.677484713118972,0.1247867,4.9542418,4.9081516,5.0241265,-0.1159749,1.1478587,0.7859079,13039.59,4.9725,11848.650987392351,0.7519636731512729,0.8309933544671726,1.0
469173160748705280,63.7574570613044,57.460365194314655,1.5391093172255526,0.036985278,5.842825,6.2118206,5.275049,0.9367714,1.1499541,0.23396969,,,4899.862025522021,1.0,0.8862749782898118,0.7937982514128972
469919007590613888,58.43108707768176,57.9747404420207,18.56327107958053,0.035180345,5.792563,5.846255,5.627618,0.21863699,0.9099631,0.2634748,8068.236,1.6735,8021.5200484075385,0.8662725637881025,0.9004060710765017,1.0
477674137971736832,72.27450305419933,61.50729358974309,3.3969640895795297,0.043922596,5.6741877,7.4565735,4.3607173,3.0958562,1.0226948,0.30383304,,,2337.7329857241707,1.0,0.5976047033279961,0.21258611072154504
487305619316615680,55.5386799878536,63.21688594960669,4.267086622698051,0.25808126,3.9577527,5.394333,2.8707185,2.5236144,2.772141,1.6411448,,,2707.495968527923,1.0,0.6548852812127197,0.34515658145455747
518061296009524480,30.75077265273442,64.3900082211575,1.0770295252339708,0.04490937,5.480928,5.69582,5.088869,0.60695076,1.0041763,0.3639912,,,5940.46068041871,1.0,0.9613967480383923,0.9222761129415934
533842792557160576,25.73378565582916,70.62246295889106,11.116623893197612,0.06611715,5.1695166,5.1561327,5.177888,-0.021755219,1.0205674,0.5913183,9907.603,2.9167,10404.975163389783,0.7809010327268386,0.8489739276687814,1.0
541716257882226560,42.99483489071468,68.8884657149681,2.165511043000819,0.06236879,5.731104,6.133727,5.1339884,0.9997387,2.342452,0.4562291,,,4743.365637197078,1.0,0.8736128862101289,0.771550639019066
575667424601040000,19.05940622782456,87.14540126541512,8.730721838228579,0.01704324,5.903064,6.4444165,5.206801,1.2376156,0.8202866,0.11956695,4641.1846,11.004,4236.221129894261,1.0,0.8295042927623488,0.6924712581559508
589052776077097088,142.98986371986183,9.71570870634429,5.277644981675033,0.16504396,4.596352,5.317617,3.7926743,1.5249426,1.4211854,0.91304445,,,3756.3716554614425,1.0,0.7826094176835224,0.6052913846200064
603820660347680640,134.56659378827447,10.845055418726735,3.624315865149645,0.10633605,5.3047037,7.808482,3.8716793,3.9368029,0.9588462,0.5136804,,,1948.7899536066934,1.0,0.5266203855032615,0.025970558670513476
622052899598187392,151.83312977678483,16.762660412755842,1.7965196308953622,0.3050599,3.4907143,3.5431592,3.4167209,0.12643838,3.7382743,1.6570803,,,8779.844470456652,0.8302840358844155,0.879005324342008,1.0
629607506553221888,150.70388365468344,21.94923477830697,3.2318752424218204,0.08965049,5.6310005,5.5329585,5.789854,-0.25689554,0.9920296,0.5875739,17380.365,5.4217,15132.719157193373,0.7086239489983626,0.8034929578426858,1.0
656549321007564800,123.2488192239753,16.514249165296953,6.37666965961836,0.31009373,5.7851105,6.2550354,5.146242,1.1087933,8.695224,1.8873,5416.7095,10.7912,4495.845027805857,1.0,0.8527071307665941,0.7343898726957442
806628225792165888,149.42037389934077,41.05551695585219,34.58092329837353,0.09260375,4.984309,5.2250423,4.601486,0.62355614,1.1449679,0.77287596,6333.7026,2.0838,5876.815399967529,1.0,0.9571949182151985,0.9152328083596696
841456081234583552,173.77048412569013,54.78542543773276,8.094463662388172,0.20612164,5.3531566,5.8693795,4.680751,1.1886287,5.062665,1.8396322,4986.407,12.7447,4331.160746413007,1.0,0.8381500405718868,0.7081778024721166
850196545840227328,159.77289080580104,53.66794652963284,6.779301427465505,0.053424064,5.159852,5.802537,4.3926973,1.4098396,0.8776627,0.40036193,4723.22,24.018,3934.3584016646573,1.0,0.8006679764603164,0.6392818050428407
879873945221537024,113.78654827867447,30.960950843131272,7.9120144569755215,0.4400622,5.0250645,5.5769954,4.425522,1.1514735,4.281536,2.1723373,,,4406.201739471545,1.0,0.8448506504763379,0.7202788175866901
946818432234294016,107.914120857792,39.320563610644285,7.614437426437044,0.21578352,4.351715,5.1532516,3.508164,1.6450877,1.9275068,1.1674317,,,3587.5707049655794,1.0,0.7646741623392435,0.5709630440225312
947165053274951680,104.76162915437853,38.05177511065372,5.818940894272775,0.029544963,5.6437964,6.271325,4.8680983,1.4032269,1.1001253,0.18592313,4865.571,20.6908,3945.1193033816407,1.0,0.8017334359482523,0.6412702134321067
